fecha,valor
2023-03-16,0.008631612903225803
2023-03-17,0.008631612903225803
2023-03-18,0.008631612903225803
2023-03-19,0.008631612903225803
2023-03-20,0.008631612903225803
2023-03-21,0.008631612903225803
2023-03-22,0.008631612903225803
2023-03-23,0.008631612903225803
2023-03-24,0.008631612903225803
2023-03-25,0.008631612903225803
2023-03-26,0.008631612903225803
2023-03-27,0.008631612903225803
2023-03-28,0.008631612903225803
2023-03-29,0.008631612903225803
2023-03-30,0.008631612903225803
2023-03-31,0.008631612903225803
2023-04-01,0.009675
2023-04-02,0.009675
2023-04-03,0.009675
2023-04-04,0.009675
2023-04-05,0.009675
2023-04-06,0.009675
2023-04-07,0.009675
2023-04-08,0.009675
2023-04-09,0.009675
2023-04-10,0.009675
2023-04-11,0.009675
2023-04-12,0.009675
2023-04-13,0.009675
2023-04-14,0.009675
2023-04-15,0.009675
2023-04-16,0.009675
2023-04-17,0.009675
2023-04-18,0.009675
2023-04-19,0.009675
2023-04-20,0.009675
2023-04-21,0.009675
2023-04-22,0.009675
2023-04-23,0.009675
2023-04-24,0.009675
2023-04-25,0.009675
2023-04-26,0.009675
2023-04-27,0.009675
2023-04-28,0.009675
2023-04-29,0.009675
2023-04-30,0.009675
2023-05-01,0.1840574193548387
2023-05-02,0.1840574193548387
2023-05-03,0.1840574193548387
2023-05-04,0.1840574193548387
2023-05-05,0.1840574193548387
2023-05-06,0.1840574193548387
2023-05-07,0.1840574193548387
2023-05-08,0.1840574193548387
2023-05-09,0.1840574193548387
2023-05-10,0.1840574193548387
2023-05-11,0.1840574193548387
2023-05-12,0.1840574193548387
2023-05-13,0.1840574193548387
2023-05-14,0.1840574193548387
2023-05-15,0.1840574193548387
2023-05-16,0.1840574193548387
2023-05-17,0.1840574193548387
2023-05-18,0.1840574193548387
2023-05-19,0.1840574193548387
2023-05-20,0.1840574193548387
2023-05-21,0.1840574193548387
2023-05-22,0.1840574193548387
2023-05-23,0.1840574193548387
2023-05-24,0.1840574193548387
2023-05-25,0.1840574193548387
2023-05-26,0.1840574193548387
2023-05-27,0.1840574193548387
2023-05-28,0.1840574193548387
2023-05-29,0.1840574193548387
2023-05-30,0.1840574193548387
2023-05-31,0.1840574193548387
2023-06-01,0.04663666666666667
2023-06-02,0.04663666666666667
2023-06-03,0.04663666666666667
2023-06-04,0.04663666666666667
2023-06-05,0.04663666666666667
2023-06-06,0.04663666666666667
2023-06-07,0.04663666666666667
2023-06-08,0.04663666666666667
2023-06-09,0.04663666666666667
2023-06-10,0.04663666666666667
2023-06-11,0.04663666666666667
2023-06-12,0.04663666666666667
2023-06-13,0.04663666666666667
2023-06-14,0.04663666666666667
2023-06-15,0.04663666666666667
2023-06-16,0.04663666666666667
2023-06-17,0.04663666666666667
2023-06-18,0.04663666666666667
2023-06-19,0.04663666666666667
2023-06-20,0.04663666666666667
2023-06-21,0.04663666666666667
2023-06-22,0.04663666666666667
2023-06-23,0.04663666666666667
2023-06-24,0.04663666666666667
2023-06-25,0.04663666666666667
2023-06-26,0.04663666666666667
2023-06-27,0.04663666666666667
2023-06-28,0.04663666666666667
2023-06-29,0.04663666666666667
2023-06-30,0.04663666666666667
2023-07-01,0.027318387096774192
2023-07-02,0.027318387096774192
2023-07-03,0.027318387096774192
2023-07-04,0.027318387096774192
2023-07-05,0.027318387096774192
2023-07-06,0.027318387096774192
2023-07-07,0.027318387096774192
2023-07-08,0.027318387096774192
2023-07-09,0.027318387096774192
2023-07-10,0.027318387096774192
2023-07-11,0.027318387096774192
2023-07-12,0.027318387096774192
2023-07-13,0.027318387096774192
2023-07-14,0.027318387096774192
2023-07-15,0.027318387096774192
2023-07-16,0.027318387096774192
2023-07-17,0.027318387096774192
2023-07-18,0.027318387096774192
2023-07-19,0.027318387096774192
2023-07-20,0.027318387096774192
2023-07-21,0.027318387096774192
2023-07-22,0.027318387096774192
2023-07-23,0.027318387096774192
2023-07-24,0.027318387096774192
2023-07-25,0.027318387096774192
2023-07-26,0.027318387096774192
2023-07-27,0.027318387096774192
2023-07-28,0.027318387096774192
2023-07-29,0.027318387096774192
2023-07-30,0.027318387096774192
2023-07-31,0.027318387096774192
2023-08-01,0.020218709677419358
2023-08-02,0.020218709677419358
2023-08-03,0.020218709677419358
2023-08-04,0.020218709677419358
2023-08-05,0.020218709677419358
2023-08-06,0.020218709677419358
2023-08-07,0.020218709677419358
2023-08-08,0.020218709677419358
2023-08-09,0.020218709677419358
2023-08-10,0.020218709677419358
2023-08-11,0.020218709677419358
2023-08-12,0.020218709677419358
2023-08-13,0.020218709677419358
2023-08-14,0.020218709677419358
2023-08-15,0.020218709677419358
2023-08-16,0.020218709677419358
2023-08-17,0.020218709677419358
2023-08-18,0.020218709677419358
2023-08-19,0.020218709677419358
2023-08-20,0.020218709677419358
2023-08-21,0.020218709677419358
2023-08-22,0.020218709677419358
2023-08-23,0.020218709677419358
2023-08-24,0.020218709677419358
2023-08-25,0.020218709677419358
2023-08-26,0.020218709677419358
2023-08-27,0.020218709677419358
2023-08-28,0.020218709677419358
2023-08-29,0.020218709677419358
2023-08-30,0.020218709677419358
2023-08-31,0.020218709677419358
2023-09-01,0.06077833333333333
2023-09-02,0.06077833333333333
2023-09-03,0.06077833333333333
2023-09-04,0.06077833333333333
2023-09-05,0.06077833333333333
2023-09-06,0.06077833333333333
2023-09-07,0.06077833333333333
2023-09-08,0.06077833333333333
2023-09-09,0.06077833333333333
2023-09-10,0.06077833333333333
2023-09-11,0.06077833333333333
2023-09-12,0.06077833333333333
2023-09-13,0.06077833333333333
2023-09-14,0.06077833333333333
2023-09-15,0.06077833333333333
2023-09-16,0.06077833333333333
2023-09-17,0.06077833333333333
2023-09-18,0.06077833333333333
2023-09-19,0.06077833333333333
2023-09-20,0.06077833333333333
2023-09-21,0.06077833333333333
2023-09-22,0.06077833333333333
2023-09-23,0.06077833333333333
2023-09-24,0.06077833333333333
2023-09-25,0.06077833333333333
2023-09-26,0.06077833333333333
2023-09-27,0.06077833333333333
2023-09-28,0.06077833333333333
2023-09-29,0.06077833333333333
2023-09-30,0.06077833333333333
2023-10-01,0.2038670967741936
2023-10-02,0.2038670967741936
2023-10-03,0.2038670967741936
2023-10-04,0.2038670967741936
2023-10-05,0.2038670967741936
2023-10-06,0.2038670967741936
2023-10-07,0.2038670967741936
2023-10-08,0.2038670967741936
2023-10-09,0.2038670967741936
2023-10-10,0.2038670967741936
2023-10-11,0.2038670967741936
2023-10-12,0.2038670967741936
2023-10-13,0.2038670967741936
2023-10-14,0.2038670967741936
2023-10-15,0.2038670967741936
2023-10-16,0.2038670967741936
2023-10-17,0.2038670967741936
2023-10-18,0.2038670967741936
2023-10-19,0.2038670967741936
2023-10-20,0.2038670967741936
2023-10-21,0.2038670967741936
2023-10-22,0.2038670967741936
2023-10-23,0.2038670967741936
2023-10-24,0.2038670967741936
2023-10-25,0.2038670967741936
2023-10-26,0.2038670967741936
2023-10-27,0.2038670967741936
2023-10-28,0.2038670967741936
2023-10-29,0.2038670967741936
2023-10-30,0.2038670967741936
2023-10-31,0.2038670967741936
2023-11-01,0.07425466666666666
2023-11-02,0.07425466666666666
2023-11-03,0.07425466666666666
2023-11-04,0.07425466666666666
2023-11-05,0.07425466666666666
2023-11-06,0.07425466666666666
2023-11-07,0.07425466666666666
2023-11-08,0.07425466666666666
2023-11-09,0.07425466666666666
2023-11-10,0.07425466666666666
2023-11-11,0.07425466666666666
2023-11-12,0.07425466666666666
2023-11-13,0.07425466666666666
2023-11-14,0.07425466666666666
2023-11-15,0.07425466666666666
2023-11-16,0.07425466666666666
2023-11-17,0.07425466666666666
2023-11-18,0.07425466666666666
2023-11-19,0.07425466666666666
2023-11-20,0.07425466666666666
2023-11-21,0.07425466666666666
2023-11-22,0.07425466666666666
2023-11-23,0.07425466666666666
2023-11-24,0.07425466666666666
2023-11-25,0.07425466666666666
2023-11-26,0.07425466666666666
2023-11-27,0.07425466666666666
2023-11-28,0.07425466666666666
2023-11-29,0.07425466666666666
2023-11-30,0.07425466666666666
2023-12-01,0.04146193548387097
2023-12-02,0.04146193548387097
2023-12-03,0.04146193548387097
2023-12-04,0.04146193548387097
2023-12-05,0.04146193548387097
2023-12-06,0.04146193548387097
2023-12-07,0.04146193548387097
2023-12-08,0.04146193548387097
2023-12-09,0.04146193548387097
2023-12-10,0.04146193548387097
2023-12-11,0.04146193548387097
2023-12-12,0.04146193548387097
2023-12-13,0.04146193548387097
2023-12-14,0.04146193548387097
2023-12-15,0.04146193548387097
2023-12-16,0.04146193548387097
2023-12-17,0.04146193548387097
2023-12-18,0.04146193548387097
2023-12-19,0.04146193548387097
2023-12-20,0.04146193548387097
2023-12-21,0.04146193548387097
2023-12-22,0.04146193548387097
2023-12-23,0.04146193548387097
2023-12-24,0.04146193548387097
2023-12-25,0.04146193548387097
2023-12-26,0.04146193548387097
2023-12-27,0.04146193548387097
2023-12-28,0.04146193548387097
2023-12-29,0.04146193548387097
2023-12-30,0.04146193548387097
2023-12-31,0.04146193548387097
2024-01-01,0.0370309677419355
2024-01-02,0.0370309677419355
2024-01-03,0.0370309677419355
2024-01-04,0.0370309677419355
2024-01-05,0.0370309677419355
2024-01-06,0.0370309677419355
2024-01-07,0.0370309677419355
2024-01-08,0.0370309677419355
2024-01-09,0.0370309677419355
2024-01-10,0.0370309677419355
2024-01-11,0.0370309677419355
2024-01-12,0.0370309677419355
2024-01-13,0.0370309677419355
2024-01-14,0.0370309677419355
2024-01-15,0.0370309677419355
2024-01-16,0.0370309677419355
2024-01-17,0.0370309677419355
2024-01-18,0.0370309677419355
2024-01-19,0.0370309677419355
2024-01-20,0.0370309677419355
2024-01-21,0.0370309677419355
2024-01-22,0.0370309677419355
2024-01-23,0.0370309677419355
2024-01-24,0.0370309677419355
2024-01-25,0.0370309677419355
2024-01-26,0.0370309677419355
2024-01-27,0.0370309677419355
2024-01-28,0.0370309677419355
2024-01-29,0.0370309677419355
2024-01-30,0.0370309677419355
2024-01-31,0.0370309677419355
2024-02-01,0.023750344827586208
2024-02-02,0.023750344827586208
2024-02-03,0.023750344827586208
2024-02-04,0.023750344827586208
2024-02-05,0.023750344827586208
2024-02-06,0.023750344827586208
2024-02-07,0.023750344827586208
2024-02-08,0.023750344827586208
2024-02-09,0.023750344827586208
2024-02-10,0.023750344827586208
2024-02-11,0.023750344827586208
2024-02-12,0.023750344827586208
2024-02-13,0.023750344827586208
2024-02-14,0.023750344827586208
2024-02-15,0.023750344827586208
2024-02-16,0.023750344827586208
2024-02-17,0.023750344827586208
2024-02-18,0.023750344827586208
2024-02-19,0.023750344827586208
2024-02-20,0.023750344827586208
2024-02-21,0.023750344827586208
2024-02-22,0.023750344827586208
2024-02-23,0.023750344827586208
2024-02-24,0.023750344827586208
2024-02-25,0.023750344827586208
2024-02-26,0.023750344827586208
2024-02-27,0.023750344827586208
2024-02-28,0.023750344827586208
2024-02-29,0.023750344827586208
2024-03-01,0.1288709677419355
2024-03-02,0.1288709677419355
2024-03-03,0.1288709677419355
2024-03-04,0.1288709677419355
2024-03-05,0.1288709677419355
2024-03-06,0.1288709677419355
2024-03-07,0.1288709677419355
2024-03-08,0.1288709677419355
2024-03-09,0.1288709677419355
2024-03-10,0.1288709677419355
2024-03-11,0.1288709677419355
2024-03-12,0.1288709677419355
2024-03-13,0.1288709677419355
2024-03-14,0.1288709677419355
2024-03-15,0.1288709677419355
2024-03-16,0.1288709677419355
2024-03-17,0.1288709677419355
2024-03-18,0.1288709677419355
2024-03-19,0.1288709677419355
2024-03-20,0.1288709677419355
2024-03-21,0.1288709677419355
2024-03-22,0.1288709677419355
2024-03-23,0.1288709677419355
2024-03-24,0.1288709677419355
2024-03-25,0.1288709677419355
2024-03-26,0.1288709677419355
2024-03-27,0.1288709677419355
2024-03-28,0.1288709677419355
2024-03-29,0.1288709677419355
2024-03-30,0.1288709677419355
2024-03-31,0.1288709677419355
2024-04-01,0.048809666666666654
2024-04-02,0.048809666666666654
2024-04-03,0.048809666666666654
2024-04-04,0.048809666666666654
2024-04-05,0.048809666666666654
2024-04-06,0.048809666666666654
2024-04-07,0.048809666666666654
2024-04-08,0.048809666666666654
2024-04-09,0.048809666666666654
2024-04-10,0.048809666666666654
2024-04-11,0.048809666666666654
2024-04-12,0.048809666666666654
2024-04-13,0.048809666666666654
2024-04-14,0.048809666666666654
2024-04-15,0.048809666666666654
2024-04-16,0.048809666666666654
2024-04-17,0.048809666666666654
2024-04-18,0.048809666666666654
2024-04-19,0.048809666666666654
2024-04-20,0.048809666666666654
2024-04-21,0.048809666666666654
2024-04-22,0.048809666666666654
2024-04-23,0.048809666666666654
2024-04-24,0.048809666666666654
2024-04-25,0.048809666666666654
2024-04-26,0.048809666666666654
2024-04-27,0.048809666666666654
2024-04-28,0.048809666666666654
2024-04-29,0.048809666666666654
2024-04-30,0.048809666666666654
2024-05-01,0.04389161290322581
2024-05-02,0.04389161290322581
2024-05-03,0.04389161290322581
2024-05-04,0.04389161290322581
2024-05-05,0.04389161290322581
2024-05-06,0.04389161290322581
2024-05-07,0.04389161290322581
2024-05-08,0.04389161290322581
2024-05-09,0.04389161290322581
2024-05-10,0.04389161290322581
2024-05-11,0.04389161290322581
2024-05-12,0.04389161290322581
2024-05-13,0.04389161290322581
2024-05-14,0.04389161290322581
2024-05-15,0.04389161290322581
2024-05-16,0.04389161290322581
2024-05-17,0.04389161290322581
2024-05-18,0.04389161290322581
2024-05-19,0.04389161290322581
2024-05-20,0.04389161290322581
2024-05-21,0.04389161290322581
2024-05-22,0.04389161290322581
2024-05-23,0.04389161290322581
2024-05-24,0.04389161290322581
2024-05-25,0.04389161290322581
2024-05-26,0.04389161290322581
2024-05-27,0.04389161290322581
2024-05-28,0.04389161290322581
2024-05-29,0.04389161290322581
2024-05-30,0.04389161290322581
2024-05-31,0.04389161290322581
2024-06-01,0.04509566666666665
2024-06-02,0.04509566666666665
2024-06-03,0.04509566666666665
2024-06-04,0.04509566666666665
2024-06-05,0.04509566666666665
2024-06-06,0.04509566666666665
2024-06-07,0.04509566666666665
2024-06-08,0.04509566666666665
2024-06-09,0.04509566666666665
2024-06-10,0.04509566666666665
2024-06-11,0.04509566666666665
2024-06-12,0.04509566666666665
2024-06-13,0.04509566666666665
2024-06-14,0.04509566666666665
2024-06-15,0.04509566666666665
2024-06-16,0.04509566666666665
2024-06-17,0.04509566666666665
2024-06-18,0.04509566666666665
2024-06-19,0.04509566666666665
2024-06-20,0.04509566666666665
2024-06-21,0.04509566666666665
2024-06-22,0.04509566666666665
2024-06-23,0.04509566666666665
2024-06-24,0.04509566666666665
2024-06-25,0.04509566666666665
2024-06-26,0.04509566666666665
2024-06-27,0.04509566666666665
2024-06-28,0.04509566666666665
2024-06-29,0.04509566666666665
2024-06-30,0.04509566666666665
2024-07-01,0.043580322580645155
2024-07-02,0.043580322580645155
2024-07-03,0.043580322580645155
2024-07-04,0.043580322580645155
2024-07-05,0.043580322580645155
2024-07-06,0.043580322580645155
2024-07-07,0.043580322580645155
2024-07-08,0.043580322580645155
2024-07-09,0.043580322580645155
2024-07-10,0.043580322580645155
2024-07-11,0.043580322580645155
2024-07-12,0.043580322580645155
2024-07-13,0.043580322580645155
2024-07-14,0.043580322580645155
2024-07-15,0.043580322580645155
2024-07-16,0.043580322580645155
2024-07-17,0.043580322580645155
2024-07-18,0.043580322580645155
2024-07-19,0.043580322580645155
2024-07-20,0.043580322580645155
2024-07-21,0.043580322580645155
2024-07-22,0.043580322580645155
2024-07-23,0.043580322580645155
2024-07-24,0.043580322580645155
2024-07-25,0.043580322580645155
2024-07-26,0.043580322580645155
2024-07-27,0.043580322580645155
2024-07-28,0.043580322580645155
2024-07-29,0.043580322580645155
2024-07-30,0.043580322580645155
2024-07-31,0.043580322580645155
2024-08-01,0.043104193548387106
2024-08-02,0.043104193548387106
2024-08-03,0.043104193548387106
2024-08-04,0.043104193548387106
2024-08-05,0.043104193548387106
2024-08-06,0.043104193548387106
2024-08-07,0.043104193548387106
2024-08-08,0.043104193548387106
2024-08-09,0.043104193548387106
2024-08-10,0.043104193548387106
2024-08-11,0.043104193548387106
2024-08-12,0.043104193548387106
2024-08-13,0.043104193548387106
2024-08-14,0.043104193548387106
2024-08-15,0.043104193548387106
2024-08-16,0.043104193548387106
2024-08-17,0.043104193548387106
2024-08-18,0.043104193548387106
2024-08-19,0.043104193548387106
2024-08-20,0.043104193548387106
2024-08-21,0.043104193548387106
2024-08-22,0.043104193548387106
2024-08-23,0.043104193548387106
2024-08-24,0.043104193548387106
2024-08-25,0.043104193548387106
2024-08-26,0.043104193548387106
2024-08-27,0.043104193548387106
2024-08-28,0.043104193548387106
2024-08-29,0.043104193548387106
2024-08-30,0.043104193548387106
2024-08-31,0.043104193548387106
2024-09-01,0.22393233333333332
2024-09-02,0.22393233333333332
2024-09-03,0.22393233333333332
2024-09-04,0.22393233333333332
2024-09-05,0.22393233333333332
2024-09-06,0.22393233333333332
2024-09-07,0.22393233333333332
2024-09-08,0.22393233333333332
2024-09-09,0.22393233333333332
2024-09-10,0.22393233333333332
2024-09-11,0.22393233333333332
2024-09-12,0.22393233333333332
2024-09-13,0.22393233333333332
2024-09-14,0.22393233333333332
2024-09-15,0.22393233333333332
2024-09-16,0.22393233333333332
2024-09-17,0.22393233333333332
2024-09-18,0.22393233333333332
2024-09-19,0.22393233333333332
2024-09-20,0.22393233333333332
2024-09-21,0.22393233333333332
2024-09-22,0.22393233333333332
2024-09-23,0.22393233333333332
2024-09-24,0.22393233333333332
2024-09-25,0.22393233333333332
2024-09-26,0.22393233333333332
2024-09-27,0.22393233333333332
2024-09-28,0.22393233333333332
2024-09-29,0.22393233333333332
2024-09-30,0.22393233333333332
2024-10-01,0.04917258064516128
2024-10-02,0.04917258064516128
2024-10-03,0.04917258064516128
2024-10-04,0.04917258064516128
2024-10-05,0.04917258064516128
2024-10-06,0.04917258064516128
2024-10-07,0.04917258064516128
2024-10-08,0.04917258064516128
2024-10-09,0.04917258064516128
2024-10-10,0.04917258064516128
2024-10-11,0.04917258064516128
2024-10-12,0.04917258064516128
2024-10-13,0.04917258064516128
2024-10-14,0.04917258064516128
2024-10-15,0.04917258064516128
2024-10-16,0.04917258064516128
2024-10-17,0.04917258064516128
2024-10-18,0.04917258064516128
2024-10-19,0.04917258064516128
2024-10-20,0.04917258064516128
2024-10-21,0.04917258064516128
2024-10-22,0.04917258064516128
2024-10-23,0.04917258064516128
2024-10-24,0.04917258064516128
2024-10-25,0.04917258064516128
2024-10-26,0.04917258064516128
2024-10-27,0.04917258064516128
2024-10-28,0.04917258064516128
2024-10-29,0.04917258064516128
2024-10-30,0.04917258064516128
2024-10-31,0.04917258064516128
2024-11-01,0.03216533333333333
2024-11-02,0.03216533333333333
2024-11-03,0.03216533333333333
2024-11-04,0.03216533333333333
2024-11-05,0.03216533333333333
2024-11-06,0.03216533333333333
2024-11-07,0.03216533333333333
2024-11-08,0.03216533333333333
2024-11-09,0.03216533333333333
2024-11-10,0.03216533333333333
2024-11-11,0.03216533333333333
2024-11-12,0.03216533333333333
2024-11-13,0.03216533333333333
2024-11-14,0.03216533333333333
2024-11-15,0.03216533333333333
2024-11-16,0.03216533333333333
2024-11-17,0.03216533333333333
2024-11-18,0.03216533333333333
2024-11-19,0.03216533333333333
2024-11-20,0.03216533333333333
2024-11-21,0.03216533333333333
2024-11-22,0.03216533333333333
2024-11-23,0.03216533333333333
2024-11-24,0.03216533333333333
2024-11-25,0.03216533333333333
2024-11-26,0.03216533333333333
2024-11-27,0.03216533333333333
2024-11-28,0.03216533333333333
2024-11-29,0.03216533333333333
2024-11-30,0.03216533333333333
2024-12-01,0.7711225806451613
2024-12-02,0.7711225806451613
2024-12-03,0.7711225806451613
2024-12-04,0.7711225806451613
2024-12-05,0.7711225806451613
2024-12-06,0.7711225806451613
2024-12-07,0.7711225806451613
2024-12-08,0.7711225806451613
2024-12-09,0.7711225806451613
2024-12-10,0.7711225806451613
2024-12-11,0.7711225806451613
2024-12-12,0.7711225806451613
2024-12-13,0.7711225806451613
2024-12-14,0.7711225806451613
2024-12-15,0.7711225806451613
2024-12-16,0.7711225806451613
2024-12-17,0.7711225806451613
2024-12-18,0.7711225806451613
2024-12-19,0.7711225806451613
2024-12-20,0.7711225806451613
2024-12-21,0.7711225806451613
2024-12-22,0.7711225806451613
2024-12-23,0.7711225806451613
2024-12-24,0.7711225806451613
2024-12-25,0.7711225806451613
2024-12-26,0.7711225806451613
2024-12-27,0.7711225806451613
2024-12-28,0.7711225806451613
2024-12-29,0.7711225806451613
2024-12-30,0.7711225806451613
2024-12-31,0.7711225806451613
2025-01-01,0.3379838709677419
2025-01-02,0.3379838709677419
2025-01-03,0.3379838709677419
2025-01-04,0.3379838709677419
2025-01-05,0.3379838709677419
2025-01-06,0.3379838709677419
2025-01-07,0.3379838709677419
2025-01-08,0.3379838709677419
2025-01-09,0.3379838709677419
2025-01-10,0.3379838709677419
2025-01-11,0.3379838709677419
2025-01-12,0.3379838709677419
2025-01-13,0.3379838709677419
2025-01-14,0.3379838709677419
2025-01-15,0.3379838709677419
2025-01-16,0.3379838709677419
2025-01-17,0.3379838709677419
2025-01-18,0.3379838709677419
2025-01-19,0.3379838709677419
2025-01-20,0.3379838709677419
2025-01-21,0.3379838709677419
2025-01-22,0.3379838709677419
2025-01-23,0.3379838709677419
2025-01-24,0.3379838709677419
2025-01-25,0.3379838709677419
2025-01-26,0.3379838709677419
2025-01-27,0.3379838709677419
2025-01-28,0.3379838709677419
2025-01-29,0.3379838709677419
2025-01-30,0.3379838709677419
2025-01-31,0.3379838709677419
2025-02-01,0.4155999999999999
2025-02-02,0.4155999999999999
2025-02-03,0.4155999999999999
2025-02-04,0.4155999999999999
2025-02-05,0.4155999999999999
2025-02-06,0.4155999999999999
2025-02-07,0.4155999999999999
2025-02-08,0.4155999999999999
2025-02-09,0.4155999999999999
2025-02-10,0.4155999999999999
2025-02-11,0.4155999999999999
2025-02-12,0.4155999999999999
2025-02-13,0.4155999999999999
2025-02-14,0.4155999999999999
2025-02-15,0.4155999999999999
2025-02-16,0.4155999999999999
2025-02-17,0.4155999999999999
2025-02-18,0.4155999999999999
2025-02-19,0.4155999999999999
2025-02-20,0.4155999999999999
2025-02-21,0.4155999999999999
2025-02-22,0.4155999999999999
2025-02-23,0.4155999999999999
2025-02-24,0.4155999999999999
2025-02-25,0.4155999999999999
2025-02-26,0.4155999999999999
2025-02-27,0.4155999999999999
2025-02-28,0.4155999999999999
2025-03-01,0.3196458064516129
2025-03-02,0.3196458064516129
2025-03-03,0.3196458064516129
2025-03-04,0.3196458064516129
2025-03-05,0.3196458064516129
2025-03-06,0.3196458064516129
2025-03-07,0.3196458064516129
2025-03-08,0.3196458064516129
2025-03-09,0.3196458064516129
2025-03-10,0.3196458064516129
2025-03-11,0.3196458064516129
2025-03-12,0.3196458064516129
2025-03-13,0.3196458064516129
2025-03-14,0.3196458064516129
2025-03-15,0.3196458064516129
2025-03-16,0.3196458064516129
2025-03-17,0.3196458064516129
2025-03-18,0.3196458064516129
2025-03-19,0.3196458064516129
2025-03-20,0.3196458064516129
2025-03-21,0.3196458064516129
2025-03-22,0.3196458064516129
2025-03-23,0.3196458064516129
2025-03-24,0.3196458064516129
2025-03-25,0.3196458064516129
2025-03-26,0.3196458064516129
2025-03-27,0.3196458064516129
2025-03-28,0.3196458064516129
2025-03-29,0.3196458064516129
2025-03-30,0.3196458064516129
2025-03-31,0.3196458064516129
2025-04-01,0.10429033333333333
2025-04-02,0.10429033333333333
2025-04-03,0.10429033333333333
2025-04-04,0.10429033333333333
2025-04-05,0.10429033333333333
2025-04-06,0.10429033333333333
2025-04-07,0.10429033333333333
2025-04-08,0.10429033333333333
2025-04-09,0.10429033333333333
2025-04-10,0.10429033333333333
2025-04-11,0.10429033333333333
2025-04-12,0.10429033333333333
2025-04-13,0.10429033333333333
2025-04-14,0.10429033333333333
2025-04-15,0.10429033333333333
2025-04-16,0.10429033333333333
2025-04-17,0.10429033333333333
2025-04-18,0.10429033333333333
2025-04-19,0.10429033333333333
2025-04-20,0.10429033333333333
2025-04-21,0.10429033333333333
2025-04-22,0.10429033333333333
2025-04-23,0.10429033333333333
2025-04-24,0.10429033333333333
2025-04-25,0.10429033333333333
2025-04-26,0.10429033333333333
2025-04-27,0.10429033333333333
2025-04-28,0.10429033333333333
2025-04-29,0.10429033333333333
2025-04-30,0.10429033333333333
2025-05-01,0.05996129032258065
2025-05-02,0.05996129032258065
2025-05-03,0.05996129032258065
2025-05-04,0.05996129032258065
2025-05-05,0.05996129032258065
2025-05-06,0.05996129032258065
2025-05-07,0.05996129032258065
2025-05-08,0.05996129032258065
2025-05-09,0.05996129032258065
2025-05-10,0.05996129032258065
2025-05-11,0.05996129032258065
2025-05-12,0.05996129032258065
2025-05-13,0.05996129032258065
2025-05-14,0.05996129032258065
2025-05-15,0.05996129032258065
2025-05-16,0.05996129032258065
2025-05-17,0.05996129032258065
2025-05-18,0.05996129032258065
2025-05-19,0.05996129032258065
2025-05-20,0.05996129032258065
2025-05-21,0.05996129032258065
2025-05-22,0.05996129032258065
2025-05-23,0.05996129032258065
2025-05-24,0.05996129032258065
2025-05-25,0.05996129032258065
2025-05-26,0.05996129032258065
2025-05-27,0.05996129032258065
2025-05-28,0.05996129032258065
2025-05-29,0.05996129032258065
2025-05-30,0.05996129032258065
2025-05-31,0.05996129032258065
2025-06-01,0.06274733333333334
2025-06-02,0.06274733333333334
2025-06-03,0.06274733333333334
2025-06-04,0.06274733333333334
