code,type,XETRS89,YETRS89,name
HUMEDAL01,wetland,656371.142608625,4206756.80820231,Contraparada
HUMEDAL02,wetland,666541.692231408,4223903.0659898,Beniel
HUMEDAL03,wetland,693472.549810581,4229392.84503682,Fondo DÂ´Elx
HUMEDAL04,wetland,641843.319860915,4179796.89574139,Guadalentin
HUMEDAL05,wetland,612118.315267137,4260676.83511518,Laguna de los patos
HUMEDAL06,wetland,641898.622401989,4180225.02711725,Mazarro-Aguilas
HUMEDAL07,wetland,619865.407282654,4253141.43619189,Agramon y Cordovilla
HUMEDAL08,wetland,708685.810839926,4230424.73914768,Santa Pola
HUMEDAL09,wetland,700825.798161598,4228216.8931508,Vega Baja
HUMEDAL10,wetland,612663.679186287,4272804.66470543,Boqueron Tobarra y otros
HUMEDAL11,wetland,692865.672608129,4232024.62272188,Campo Cartagena
HUMEDAL12,wetland,681036.145461749,4263781.68817087,Jumilla-Yecla
HUMEDAL13,wetland,624695.771140133,4301327.94424014,Sinclinal Higuera
